会う|あう|to meet
(none)|ボールペン|ball-point pen
(none)|ほか|other, the rest
(none)|ポケット|pocket
欲しい|ほしい|want
(none)|ポスト|post
細い|ほそい|thin
(none)|ボタン|button
(none)|ホテル|hotel
本|ほん|book
本棚|ほんだな|bookshelves
(none)|ほんとう|truth
毎朝|まいあさ|every morning
毎週|まいしゅう|every week
毎日|まいにち|every day
毎晩|まいばん|every night
前|まえ|before
曲る|まがる|to turn,to bend
(none)|まずい|unpleasant
(none)|また|again,and
(none)|まだ|yet,still
町|まち|town,city
待つ|まつ|to wait
(none)|まっすぐ|straight ahead,direct
(none)|マッチ|match
窓|まど|window
丸い/円い|まるい|round,circular
万|まん|ten thousand
万年筆|まんねんひつ|fountain pen
磨く|みがく|to brush teeth, to polish
右|みぎ|right side
短い|みじかい|short
水|みず|water
店|みせ|shop
見せる|みせる|to show
道|みち|street
三日|みっか|three days, third day of the month
三つ|みっつ|three
緑|みどり|green
皆さん|みなさん|everyone
南|みなみ|south
耳|みみ|ear
(none)|みんな|everyone
六日|むいか|six days, sixth day of the month
向こう|むこう|over there
難しい|むずかしい|difficult
六つ|むっつ|six
村|むら|village
目|め|eye
(none)|メートル|metre
眼鏡|めがね|glasses
(none)|もう|already
もう一度|もういちど|again
木曜日|もくようび|Thursday
持つ|もつ|to hold
(none)|もっと|more
物|もの|thing
門|もん|gate
問題|もんだい|problem
八百屋|やおや|greengrocer
野菜|やさい|vegetable
易しい|やさしい|easy, simple
安い|やすい|cheap
休み|やすみ|rest,holiday
休む|やすむ|to rest
八つ|やっつ|eight
山|やま|mountain
(none)|やる|to do
夕方|ゆうがた|evening
夕飯|ゆうはん|dinner
郵便局|ゆうびんきょく|post office
昨夜|ゆうべ|last night
有名|ゆうめい|famous
雪|ゆき|snow
行く|ゆく|to go
(none)|ゆっくりと|slowly
八日|ようか|eight days, eighth day of the month
洋服|ようふく|western-style clothes
(none)|よく|often, well
横|よこ|beside,side,width
四日|よっか|four days, fouth day of the month
四つ|よっつ|four
呼ぶ|よぶ|to call out,to invite
読む|よむ|to read
夜|よる|evening,night
弱い|よわい|weak
来月|らいげつ|next month
来週|らいしゅう|next week
来年|らいねん|next year
(none)|ラジオ|radio
(none)|ラジカセ|/
(none)|りっぱ|splendid
留学生|りゅうがくせい|overseas student
両親|りょうしん|both parents
料理|りょうり|cuisine
旅行|りょこう|travel
零|れい|zero
冷蔵庫|れいぞうこ|refrigerator
(none)|レコード|record
(none)|レストラン|restaurant
練習|れんしゅうする|to practice
廊下|ろうか|corridor
六|ろく|six
(none)|ワイシャツ|business shirt
若い|わかい|young
分かる|わかる|to be understood
忘れる|わすれる|to forget
私|わたくし|(humble) I,myself
私|わたし|I,myself
渡す|わたす|to hand over
渡る|わたる|to go across
悪い|わるい|bad
